name,mana_cost,cmc,type_line,oracle_text,image_url
"Fang, Fearless l'Cie",{2}{B},3.0,Legendary Creature — Human Warrior,"Whenever one or more cards leave your graveyard, you draw a card and you lose 1 life. This ability triggers only once each turn. (Melds with Vanille, Cheerful l'Cie.)",https://cards.scryfall.io/normal/front/f/7/f73a5cbb-905f-4b99-8d23-9d1b6bd47ee8.jpg?1746914128
Fate of the Sun-Cryst,{4}{W},5.0,Instant,This spell costs {2} less to cast if it targets a tapped creature. Destroy target nonland permanent.,https://cards.scryfall.io/normal/front/9/0/900cdf11-b42e-4dcc-97c3-2e4d8e406a70.jpg?1748705825
Fight On!,{2}{B},3.0,Instant,Return up to two target creature cards from your graveyard to your hand.,https://cards.scryfall.io/normal/front/e/1/e1b0739a-dcc4-4034-96d7-69e551b2f36b.jpg?1748706137
Fire Magic,{R},1.0,Instant,Tiered (Choose one additional cost.) • Fire — {0} — Fire Magic deals 1 damage to each creature. • Fira — {2} — Fire Magic deals 2 damage to each creature. • Firaga — {5} — Fire Magic deals 3 damage to each creature.,https://cards.scryfall.io/normal/front/4/1/415ff6a5-61ef-4b37-ae08-e44476300d4a.jpg?1748706272
"Firion, Wild Rose Warrior",{2}{R},3.0,Legendary Creature — Human Rebel Warrior,"Equipped creatures you control have haste. Whenever a nontoken Equipment you control enters, create a token that's a copy of it, except it has ""This Equipment's equip abilities cost {2} less to activate."" Sacrifice that token at the beginning of the next upkeep.",https://cards.scryfall.io/normal/front/9/8/98366937-d15b-4a66-b9f6-878d50b63871.jpg?1748706279
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),https://cards.scryfall.io/normal/front/b/e/be72862d-d71e-4b18-98a6-59019399f631.jpg?1748706924
Freya Crescent,{R},1.0,Legendary Creature — Rat Knight,"Jump — During your turn, Freya Crescent has flying. {T}: Add {R}. Spend this mana only to cast an Equipment spell or activate an equip ability.",https://cards.scryfall.io/normal/front/9/9/9921f646-e893-44db-ac89-0633c1009788.jpg?1748706279
From Father to Son,{1}{W},2.0,Sorcery,"Search your library for a Vehicle card, reveal it, and put it into your hand. If this spell was cast from a graveyard, put that card onto the battlefield instead. Then shuffle. Flashback {4}{W}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",https://cards.scryfall.io/normal/front/0/c/0c730a3b-334e-466b-bb9b-4b41fce2af6d.jpg?1748705832
Gaelicat,{2}{W},3.0,Creature — Cat,"Flying, vigilance As long as you control two or more artifacts, this creature gets +2/+0.",https://cards.scryfall.io/normal/front/2/9/29606c49-e1a4-49c3-883b-9122c08bbbc7.jpg?1748705839
Gaius van Baelsar,{2}{B}{B},4.0,Legendary Creature — Human Soldier,"When Gaius van Baelsar enters, choose one — • Each player sacrifices a creature token of their choice. • Each player sacrifices a nontoken creature of their choice. • Each player sacrifices an enchantment of their choice.",https://cards.scryfall.io/normal/front/a/4/a4ee8ba5-6a79-4652-b2a4-a3dae804bc28.jpg?1748706145
Galuf's Final Act,{1}{G},2.0,Instant,"Until end of turn, target creature gets +1/+0 and gains ""When this creature dies, put a number of +1/+1 counters equal to its power on up to one target creature.""",https://cards.scryfall.io/normal/front/0/c/0ce05634-6c01-4941-a135-904cb4e33ac4.jpg?1748706456
"Garland, Knight of Cornelia // Chaos, the Endless",,2.0,Legendary Creature — Human Knight // Legendary Creature — Demon,,
"Garnet, Princess of Alexandria",{G}{W},2.0,Legendary Creature — Human Noble Cleric,"Lifelink Whenever Garnet attacks, you may remove a lore counter from each of any number of Sagas you control. Put a +1/+1 counter on Garnet for each lore counter removed this way.",https://cards.scryfall.io/normal/front/b/8/b883df14-8d7b-4f6a-9a6a-2f71f5b6ddda.jpg?1748706601
Genji Glove,{5},5.0,Artifact — Equipment,"Equipped creature has double strike. Whenever equipped creature attacks, if it's the first combat phase of the turn, untap it. After this phase, there is an additional combat phase. Equip {3}",https://cards.scryfall.io/normal/front/f/7/f724dde1-84b0-4e3b-a9b8-44cd22bb9f79.jpg?1748706757
Gigantoad,{3}{G},4.0,Creature — Frog,"As long as you control seven or more lands, this creature gets +2/+2.",https://cards.scryfall.io/normal/front/b/c/bc10d648-4053-460f-bc52-9c20477bf6de.jpg?1748706462
"Gilgamesh, Master-at-Arms",{4}{R}{R},6.0,Legendary Creature — Human Samurai,"Whenever Gilgamesh enters or attacks, look at the top six cards of your library. You may put any number of Equipment cards from among them onto the battlefield. Put the rest on the bottom of your library in a random order. When you put one or more Equipment onto the battlefield this way, you may attach one of them to a Samurai you control.",https://cards.scryfall.io/normal/front/1/e/1eb81329-fb7a-4347-b96c-9960a5c48e87.jpg?1748706285
"Giott, King of the Dwarves",{R}{W},2.0,Legendary Creature — Dwarf Noble,"Double strike Whenever Giott or another Dwarf you control enters and whenever an Equipment you control enters, you may discard a card. If you do, draw a card.",https://cards.scryfall.io/normal/front/6/a/6a7784de-a10d-4ce6-98a5-aaf3e85773b6.jpg?1748706604
Gladiolus Amicitia,{4}{R}{G},6.0,Legendary Creature — Human Warrior,"When Gladiolus Amicitia enters, search your library for a land card, put it onto the battlefield tapped, then shuffle. Landfall — Whenever a land you control enters, another target creature you control gets +2/+2 and gains trample until end of turn.",https://cards.scryfall.io/normal/front/4/4/442957fc-045d-4db6-b82a-445f172d23e4.jpg?1748706608
"Gogo, Master of Mimicry",{2}{U},3.0,Legendary Creature — Wizard,"{X}{X}, {T}: Copy target activated or triggered ability you control X times. You may choose new targets for the copies. This ability can't be copied and X can't be 0. (Mana abilities can't be targeted.)",https://cards.scryfall.io/normal/front/c/c/cce4eb99-d960-4ab7-911a-bb4ea74d1775.jpg?1748705954
"Gohn, Town of Ruin",,0.0,Land — Town,This land enters tapped. {T}: Add {B} or {G}.,https://cards.scryfall.io/normal/front/9/9/99582781-613e-4a33-aec7-7569b4a961aa.jpg?1748706822
"Golbez, Crystal Collector",{U}{B},2.0,Legendary Creature — Human Wizard,"Whenever an artifact you control enters, surveil 1. At the beginning of your end step, if you control four or more artifacts, return target creature card from your graveyard to your hand. Then if you control eight or more artifacts, each opponent loses life equal to that card's power.",https://cards.scryfall.io/normal/front/8/4/849f5716-7211-4e93-a220-f88d49f937f4.jpg?1748706611
"Gongaga, Reactor Town",,0.0,Land — Town,This land enters tapped. {T}: Add {R} or {G}.,https://cards.scryfall.io/normal/front/7/b/7beccfa6-3e4b-4460-954e-870cb39e462d.jpg?1748706828
Goobbue Gardener,{1}{G},2.0,Creature — Plant Beast,{T}: Add {G}.,https://cards.scryfall.io/normal/front/b/7/b7c3544a-5dd5-423e-8a40-ac4803db8adc.jpg?1748706464
G'raha Tia,{4}{W},5.0,Legendary Creature — Cat Archer,"Reach The Allagan Eye — Whenever one or more other creatures and/or artifacts you control die, draw a card. This ability triggers only once each turn.",https://cards.scryfall.io/normal/front/0/7/076a8eca-ed73-4ee9-aab4-d9d43d394ee6.jpg?1748705832
Gran Pulse Ochu,{G},1.0,Creature — Plant Beast,"Deathtouch {8}: Until end of turn, this creature gets +1/+1 for each permanent card in your graveyard.",https://cards.scryfall.io/normal/front/4/d/4dced21f-478c-4500-9484-af5864dea5cc.jpg?1748706468
"Guadosalam, Farplane Gateway",,0.0,Land — Town,This land enters tapped. {T}: Add {G} or {U}.,https://cards.scryfall.io/normal/front/d/f/dfcbc131-fd50-4908-b539-c8e52bb70c58.jpg?1748706833
Gysahl Greens,{1}{G},2.0,Sorcery,"Create a 2/2 green Bird creature token with ""Whenever a land you control enters, this token gets +1/+0 until end of turn."" Flashback {6}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",https://cards.scryfall.io/normal/front/0/2/020dee17-d85b-44c4-9faa-b1ef977956f4.jpg?1748706473
Haste Magic,{1}{R},2.0,Instant,Target creature gets +3/+1 and gains haste until end of turn. Exile the top card of your library. You may play it until your next end step.,https://cards.scryfall.io/normal/front/3/a/3af9d100-70ee-4c6c-a762-11a0c4f3ef6f.jpg?1748706286
Hecteyes,{1}{B},2.0,Creature — Ooze Horror,"When this creature enters, each opponent discards a card.",https://cards.scryfall.io/normal/front/8/6/8680d052-c07b-4d9b-bda9-b5f69f44f424.jpg?1748706146
Hill Gigas,{4}{R}{R},6.0,Creature — Giant,"Trample, haste Mountaincycling {2} ({2}, Discard this card: Search your library for a Mountain card, reveal it, put it into your hand, then shuffle.)",https://cards.scryfall.io/normal/front/2/a/2a8b3e1e-5c10-4360-ac1c-83b2e026278c.jpg?1748706292
Hope Estheim,{W}{U},2.0,Legendary Creature — Human Wizard,"Lifelink At the beginning of your end step, each opponent mills X cards, where X is the amount of life you gained this turn.",https://cards.scryfall.io/normal/front/f/b/fbdb68cc-5516-481a-94c5-59f6c69b8a17.jpg?1748706615
Ice Flan,{4}{U}{U},6.0,Creature — Elemental Ooze,"When this creature enters, tap target artifact or creature an opponent controls. Put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.) Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)",https://cards.scryfall.io/normal/front/a/d/ad304c9c-943f-442f-bb82-ff378ad7d7ba.jpg?1748705958
Ice Magic,{1}{U},2.0,Instant,Tiered (Choose one additional cost.) • Blizzard — {0} — Return target creature to its owner's hand. • Blizzara — {2} — Target creature's owner puts it on their choice of the top or bottom of their library. • Blizzaga — {5}{U} — Target creature's owner shuffles it into their library.,https://cards.scryfall.io/normal/front/9/d/9dabd626-7ec3-4913-babb-d5d3fd5e32d5.jpg?1748705962
Ignis Scientia,{1}{G}{U},3.0,Legendary Creature — Human Advisor,"When Ignis Scientia enters, look at the top six cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order. I've Come Up with a New Recipe! — {1}{G}{U}, {T}: Exile target card from a graveyard. If a creature card was exiled this way, create a Food token.",https://cards.scryfall.io/normal/front/a/b/ab4f9721-5b2c-4371-98a5-3f6714265e57.jpg?1748706619
Il Mheg Pixie,{1}{U},2.0,Creature — Faerie,"Flying Whenever this creature attacks, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",https://cards.scryfall.io/normal/front/a/e/ae612312-3a8e-495f-8730-deaaf7505ca1.jpg?1748705966
"Insomnia, Crown City",,0.0,Land — Town,This land enters tapped. {T}: Add {W} or {B}.,https://cards.scryfall.io/normal/front/0/7/07fca511-a65c-4779-82c0-9215b0dcd068.jpg?1748706835
Instant Ramen,{2},2.0,Artifact — Food,"Flash When this artifact enters, draw a card. {2}, {T}, Sacrifice this artifact: You gain 3 life.",https://cards.scryfall.io/normal/front/e/f/ef7011f4-fc08-4b15-973d-d15357cbe744.jpg?1748706757
Iron Giant,{7},7.0,Artifact Creature — Demon,"Vigilance, reach, trample",https://cards.scryfall.io/normal/front/e/4/e48cf6d5-4d32-4b66-80be-3495ecd3e906.jpg?1748706763
"Ishgard, the Holy See // Faith & Grief",{3}{W}{W},0.0,Land — Town // Sorcery — Adventure,,https://cards.scryfall.io/normal/front/0/6/068bc755-9d3d-430b-abc5-c775a5415bf9.jpg?1748706839
Island,,0.0,Basic Land — Island,({T}: Add {U}.),https://cards.scryfall.io/normal/front/b/9/b92ec9f6-a56d-40c6-aee2-7d5e1524c985.jpg?1749278110
Item Shopkeep,{1}{R},2.0,Creature — Human Citizen,"Whenever you attack, target attacking equipped creature gains menace until end of turn. (It can't be blocked except by two or more creatures.)",https://cards.scryfall.io/normal/front/b/d/bd2db3f5-fd0d-4817-af90-6bea1f07e16b.jpg?1748706293
"Jecht, Reluctant Guardian // Braska's Final Aeon",,4.0,Legendary Creature — Human Warrior // Legendary Enchantment Creature — Saga Nightmare,,
"Jenova, Ancient Calamity",{2}{B}{G},4.0,Legendary Creature — Alien,"At the beginning of combat on your turn, put a number of +1/+1 counters equal to Jenova's power on up to one other target creature. That creature becomes a Mutant in addition to its other types. Whenever a Mutant you control dies during your turn, you draw cards equal to its power.",https://cards.scryfall.io/normal/front/5/3/534f98ee-7bc2-44d6-b49f-f57c051807d5.jpg?1748706622
"Jidoor, Aristocratic Capital // Overture",{4}{U}{U},0.0,Land — Town // Sorcery — Adventure,,https://cards.scryfall.io/normal/front/9/8/98b2d5b5-f85b-4c42-a0f5-a76f6af304ba.jpg?1748962589
"Jill, Shiva's Dominant // Shiva, Warden of Ice",,3.0,Legendary Creature — Human Noble Warrior // Legendary Enchantment Creature — Saga Elemental,,
"Joshua, Phoenix's Dominant // Phoenix, Warden of Fire",,3.0,Legendary Creature — Human Noble Wizard // Legendary Enchantment Creature — Saga Phoenix,,
Judge Magister Gabranth,{W}{B},2.0,Legendary Creature — Human Advisor Knight,"Menace (This creature can't be blocked except by two or more creatures.) Whenever another creature or artifact you control dies, put a +1/+1 counter on Judge Magister Gabranth.",https://cards.scryfall.io/normal/front/f/9/f9e64cb6-48f7-41d3-99e7-4b0bc3b33fd7.jpg?1748706634
Judgment Bolt,{3}{R},4.0,Instant,"Judgment Bolt deals 5 damage to target creature and X damage to that creature's controller, where X is the number of Equipment you control.",https://cards.scryfall.io/normal/front/0/5/05b04b06-9271-4a28-a60e-287df0d1a4d1.jpg?1748707602
Jumbo Cactuar,{5}{G}{G},7.0,Creature — Plant,"10,000 Needles — Whenever this creature attacks, it gets +9999/+0 until end of turn.",https://cards.scryfall.io/normal/front/d/b/db01c222-8795-47e9-a789-e7f749a3ee7d.jpg?1748706475
"Kain, Traitorous Dragoon",{2}{B},3.0,Legendary Creature — Human Knight,"Jump — During your turn, Kain has flying. Whenever Kain deals combat damage to a player, that player gains control of Kain. If they do, you draw that many cards, create that many tapped Treasure tokens, then lose that much life.",https://cards.scryfall.io/normal/front/f/8/f8c86be0-e1b3-4a78-9254-238dd936914b.jpg?1748706158
"Kefka, Court Mage // Kefka, Ruler of Ruin",,5.0,Legendary Creature — Human Wizard // Legendary Creature — Avatar Wizard,,
"Kuja, Genome Sorcerer // Trance Kuja, Fate Defied",,4.0,Legendary Creature — Human Mutant Wizard // Legendary Creature — Avatar Wizard,,
Laughing Mad,{2}{R},3.0,Instant,"As an additional cost to cast this spell, discard a card. Draw two cards. Flashback {3}{R} (You may cast this card from your graveyard for its flashback cost and any additional costs. Then exile it.)",https://cards.scryfall.io/normal/front/c/d/cd5b9daf-6325-4eb4-a069-4a8cc7807884.jpg?1748706298
"Lightning, Army of One",{1}{R}{W},3.0,Legendary Creature — Human Soldier,"First strike, trample, lifelink Stagger — Whenever Lightning deals combat damage to a player, until your next turn, if a source would deal damage to that player or a permanent that player controls, it deals double that damage instead.",https://cards.scryfall.io/normal/front/1/1/1103da9c-300c-406b-997d-9e5bb7cd02d6.jpg?1748706652
"Lightning, Security Sergeant",{2}{R},3.0,Legendary Creature — Human Soldier,"Menace (This creature can't be blocked except by two or more creatures.) Whenever Lightning deals combat damage to a player, exile the top card of your library. You may play that card for as long as you control Lightning.",https://cards.scryfall.io/normal/front/4/a/4ad4dce3-6e43-4528-b570-85547d03164e.jpg?1748707602
Light of Judgment,{4}{R},5.0,Instant,Light of Judgment deals 6 damage to target creature. Destroy up to one Equipment attached to that creature.,https://cards.scryfall.io/normal/front/9/8/98bb716d-ca66-445f-9cb3-0fc656c8ebff.jpg?1748706299
"Lindblum, Industrial Regency // Mage Siege",{2}{R},0.0,Land — Town // Instant — Adventure,,https://cards.scryfall.io/normal/front/5/4/548dd152-f0b6-4e8f-9afc-a4ec1671b648.jpg?1748706846
Lion Heart,{4},4.0,Artifact — Equipment,"When this Equipment enters, it deals 2 damage to any target. Equipped creature gets +2/+1. Equip {2}",https://cards.scryfall.io/normal/front/0/4/04d327a3-1699-4556-b681-a957671ad142.jpg?1748706764
Locke Cole,{1}{U}{B},3.0,Legendary Creature — Human Rogue,"Deathtouch, lifelink Whenever Locke Cole deals combat damage to a player, draw a card, then discard a card.",https://cards.scryfall.io/normal/front/5/7/572feb8c-6976-40a8-8a34-b4db836cca56.jpg?1748706655
Loporrit Scout,{2}{G},3.0,Creature — Rabbit Scout,"Whenever another creature you control enters, this creature gets +1/+1 until end of turn.",https://cards.scryfall.io/normal/front/a/1/a182bc66-bfda-4bf5-bd12-3de5dba60945.jpg?1748706482
Louisoix's Sacrifice,{U},1.0,Instant,"As an additional cost to cast this spell, sacrifice a legendary creature or pay {2}. Counter target activated ability, triggered ability, or noncreature spell.",https://cards.scryfall.io/normal/front/4/a/4a6976f2-0bd5-449a-8fcf-f5a732ce22c1.jpg?1748705976
Lunatic Pandora,{1},1.0,Legendary Artifact,"{2}, {T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.) {6}, {T}, Sacrifice Lunatic Pandora: Destroy target nonland permanent.",https://cards.scryfall.io/normal/front/d/6/d6e1e3e7-20d4-42cb-ad22-60356b9e8fdc.jpg?1750188050
Machinist's Arsenal,{4}{W},5.0,Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +2/+2 for each artifact you control and is an Artificer in addition to its other types. Machina — Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)",https://cards.scryfall.io/normal/front/f/f/ff976428-2145-4630-aab1-08870b90b2f0.jpg?1748705839
Magic Damper,{U},1.0,Instant,Target creature you control gets +1/+1 and gains hexproof until end of turn. Untap it.,https://cards.scryfall.io/normal/front/4/4/44921b2e-5938-4f63-92b9-0b719a2f8c68.jpg?1748705983
Magic Pot,{3},3.0,Artifact Creature — Goblin Construct,"When this creature dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."") {2}, {T}: Exile target card from a graveyard.",https://cards.scryfall.io/normal/front/5/7/57d07ca0-5618-4a90-a605-ca14a193ce3b.jpg?1748706770
Magitek Armor,{3}{W},4.0,Artifact — Vehicle,"When this Vehicle enters, create a 1/1 colorless Hero creature token. Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",https://cards.scryfall.io/normal/front/5/9/59c4a1a2-623c-43b2-8005-ecb5c6436c10.jpg?1748705845
Magitek Infantry,{W},1.0,Artifact Creature — Robot Soldier,"This creature gets +1/+0 as long as you control another artifact. {2}{W}: Search your library for a card named Magitek Infantry, put it onto the battlefield tapped, then shuffle.",https://cards.scryfall.io/normal/front/b/6/b64dc6d7-dd01-4e66-9099-4c90865448df.jpg?1748705847
Magitek Scythe,{4},4.0,Artifact — Equipment,"A Test of Your Reflexes! — When this Equipment enters, you may attach it to target creature you control. If you do, that creature gains first strike until end of turn and must be blocked this turn if able. Equipped creature gets +2/+1. Equip {2}",https://cards.scryfall.io/normal/front/8/b/8b691d42-3498-4d47-9a46-f7c376df8886.jpg?1748707605
Malboro,{4}{B}{B},6.0,Creature — Plant Horror,"Bad Breath — When this creature enters, each opponent discards a card, loses 2 life, and exiles the top three cards of their library. Swampcycling {2} ({2}, Discard this card: Search your library for a Swamp card, reveal it, put it into your hand, then shuffle.)",https://cards.scryfall.io/normal/front/e/4/e46d8048-03ce-4e07-ba24-f41ba6140a4e.jpg?1748706158
"Matoya, Archon Elder",{2}{U},3.0,Legendary Creature — Human Warlock,"Whenever you scry or surveil, draw a card. (Draw after you scry or surveil.)",https://cards.scryfall.io/normal/front/1/d/1dd61cf6-2fb5-4cff-ab00-7677ac85774c.jpg?1748705987
Memories Returning,{2}{U}{U},4.0,Sorcery,Reveal the top five cards of your library. Put one of them into your hand. Then choose an opponent. They put one on the bottom of your library. Then you put one into your hand. Then they put one on the bottom of your library. Put the other into your hand. Flashback {7}{U}{U},https://cards.scryfall.io/normal/front/a/7/a753abfc-35d3-4faf-ab35-3b51aa778174.jpg?1748705992
"Midgar, City of Mako // Reactor Raid",{2}{B},0.0,Land — Town // Sorcery — Adventure,,https://cards.scryfall.io/normal/front/8/a/8a837256-6bb4-4a60-962d-d2793548d26c.jpg?1748706848
"Minwu, White Mage",{3}{W}{W},5.0,Legendary Creature — Human Cleric,"Vigilance, lifelink Whenever you gain life, put a +1/+1 counter on each Cleric you control.",https://cards.scryfall.io/normal/front/6/8/6822144f-f0eb-4e10-a217-52cad36d2973.jpg?1748705852
Monk's Fist,{2},2.0,Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +1/+0 and is a Monk in addition to its other types. Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",https://cards.scryfall.io/normal/front/9/9/995033f0-873d-4e46-b0c9-98ec8ef270ff.jpg?1748706776
Moogles' Valor,{3}{W}{W},5.0,Instant,"For each creature you control, create a 1/2 white Moogle creature token with lifelink. Then creatures you control gain indestructible until end of turn.",https://cards.scryfall.io/normal/front/c/a/caa838a7-60a9-4791-af5b-194f7574c4c8.jpg?1748705854
Mountain,,0.0,Basic Land — Mountain,({T}: Add {R}.),https://cards.scryfall.io/normal/front/a/1/a18ef64b-a9de-4548-b4d5-168758442db7.jpg?1748706910
Mysidian Elder,{2}{R},3.0,Creature — Human Wizard,"When this creature enters, create a 0/1 black Wizard creature token with ""Whenever you cast a noncreature spell, this token deals 1 damage to each opponent.""",https://cards.scryfall.io/normal/front/6/b/6bc39af4-be19-4889-b930-df7ebf7b9481.jpg?1748706305
Namazu Trader,{3}{B},4.0,Creature — Fish Citizen,"When this creature enters, you lose 1 life and create a Treasure token. Whenever this creature attacks, you may sacrifice another creature or artifact. If you do, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",https://cards.scryfall.io/normal/front/f/9/f9d25b34-990d-416c-aef7-1b5a73f19dd4.jpg?1748962390
Nibelheim Aflame,{2}{R}{R},4.0,Sorcery,"Choose target creature you control. It deals damage equal to its power to each other creature. If this spell was cast from a graveyard, discard your hand and draw four cards. Flashback {5}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",https://cards.scryfall.io/normal/front/3/d/3d3e926a-74af-4996-849f-d31e0fdedeae.jpg?1748706306
Ninja's Blades,{2}{B},3.0,Artifact — Equipment,"Job select Equipped creature gets +1/+1, is a Ninja in addition to its other types, and has ""Whenever this creature deals combat damage to a player, draw a card, then discard a card. That player loses life equal to the discarded card's mana value."" Mutsunokami — Equip {2}",https://cards.scryfall.io/normal/front/a/6/a6b5af82-3646-44f9-ac12-1d7fa698f037.jpg?1748706165
"Noctis, Prince of Lucis",{1}{W}{U}{B},4.0,Legendary Creature — Human Noble,"Lifelink You may cast artifact spells from your graveyard by paying 3 life in addition to paying their other costs. If you cast a spell this way, that artifact enters with a finality counter on it.",https://cards.scryfall.io/normal/front/1/8/1881a66b-956d-4bab-b578-5b2d3407c972.jpg?1748706659
"Omega, Heartless Evolution",{5}{G}{U},7.0,Legendary Artifact Creature — Robot,"Wave Cannon — When Omega enters, for each opponent, tap up to one target nonland permanent that opponent controls. Put X stun counters on each of those permanents and you gain X life, where X is the number of nonbasic lands you control. (If a permanent with a stun counter would become untapped, remove one from it instead.)",https://cards.scryfall.io/normal/front/9/a/9a8eb7e6-0c0b-42d0-aa90-2d3d29bc15aa.jpg?1748706661
Opera Love Song,{1}{R},2.0,Instant,Choose one — • Exile the top two cards of your library. You may play those cards until your next end step. • One or two target creatures each get +2/+0 until end of turn.,https://cards.scryfall.io/normal/front/0/3/0343916d-1b65-4e95-aef1-e72dbcebf0c4.jpg?1748706312
Overkill,{2}{B},3.0,Instant,Target creature gets -0/-9999 until end of turn.,https://cards.scryfall.io/normal/front/a/e/ae075e71-d33d-4d6c-b4a5-0b47dd6fd196.jpg?1748706172
